Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Team
STR,24.0,98.478,HARD,9.0,Aston Martin
STR,25.0,98.25,HARD,10.0,Aston Martin
STR,26.0,98.482,HARD,11.0,Aston Martin
STR,27.0,99.021,HARD,12.0,Aston Martin
STR,28.0,98.723,HARD,13.0,Aston Martin
STR,29.0,98.71,HARD,14.0,Aston Martin
STR,32.0,96.546,HARD,2.0,Aston Martin
STR,33.0,97.21,HARD,3.0,Aston Martin
STR,34.0,97.168,HARD,4.0,Aston Martin
STR,35.0,97.521,HARD,5.0,Aston Martin
STR,36.0,97.72,HARD,6.0,Aston Martin
STR,37.0,97.68,HARD,7.0,Aston Martin
STR,38.0,97.274,HARD,8.0,Aston Martin
STR,39.0,97.456,HARD,9.0,Aston Martin
STR,40.0,97.916,HARD,10.0,Aston Martin
STR,42.0,97.298,HARD,12.0,Aston Martin
STR,43.0,97.304,HARD,13.0,Aston Martin
STR,44.0,97.299,HARD,14.0,Aston Martin
STR,45.0,97.222,HARD,15.0,Aston Martin
STR,46.0,97.562,HARD,16.0,Aston Martin
STR,47.0,97.257,HARD,17.0,Aston Martin
STR,48.0,97.448,HARD,18.0,Aston Martin
STR,49.0,97.551,HARD,19.0,Aston Martin
STR,50.0,97.388,HARD,20.0,Aston Martin
STR,51.0,97.866,HARD,21.0,Aston Martin
STR,52.0,97.579,HARD,22.0,Aston Martin
STR,53.0,98.379,HARD,23.0,Aston Martin
STR,54.0,97.597,HARD,24.0,Aston Martin
STR,55.0,97.701,HARD,25.0,Aston Martin
STR,56.0,98.11,HARD,26.0,Aston Martin
STR,57.0,97.991,HARD,27.0,Aston Martin
SAR,2.0,100.467,SOFT,2.0,Williams
SAR,3.0,100.349,SOFT,3.0,Williams
SAR,14.0,98.413,SOFT,2.0,Williams
SAR,15.0,99.033,SOFT,3.0,Williams
SAR,16.0,98.988,SOFT,4.0,Williams
SAR,17.0,99.439,SOFT,5.0,Williams
SAR,18.0,99.399,SOFT,6.0,Williams
SAR,19.0,99.22,SOFT,7.0,Williams
SAR,20.0,99.186,SOFT,8.0,Williams
SAR,21.0,99.612,SOFT,9.0,Williams
SAR,22.0,99.362,SOFT,10.0,Williams
SAR,23.0,99.692,SOFT,11.0,Williams
SAR,24.0,99.872,SOFT,12.0,Williams
SAR,25.0,99.834,SOFT,13.0,Williams
SAR,26.0,100.006,SOFT,14.0,Williams
SAR,27.0,99.602,SOFT,15.0,Williams
SAR,28.0,99.62,SOFT,16.0,Williams
SAR,29.0,99.673,SOFT,17.0,Williams
SAR,32.0,97.613,HARD,2.0,Williams
SAR,33.0,97.862,HARD,3.0,Williams
SAR,34.0,97.902,HARD,4.0,Williams
SAR,35.0,98.029,HARD,5.0,Williams
SAR,36.0,97.717,HARD,6.0,Williams
SAR,37.0,97.831,HARD,7.0,Williams
SAR,38.0,98.015,HARD,8.0,Williams
SAR,39.0,97.971,HARD,9.0,Williams
SAR,42.0,96.037,SOFT,2.0,Williams
SAR,43.0,96.801,SOFT,3.0,Williams
SAR,44.0,97.407,SOFT,4.0,Williams
SAR,45.0,97.462,SOFT,5.0,Williams
SAR,46.0,98.441,SOFT,6.0,Williams
SAR,47.0,97.227,SOFT,7.0,Williams
SAR,48.0,97.068,SOFT,8.0,Williams
SAR,49.0,97.225,SOFT,9.0,Williams
SAR,50.0,97.29,SOFT,10.0,Williams
SAR,51.0,97.472,SOFT,11.0,Williams
SAR,52.0,97.456,SOFT,12.0,Williams
SAR,53.0,97.662,SOFT,13.0,Williams
SAR,54.0,97.936,SOFT,14.0,Williams
SAR,55.0,98.316,SOFT,15.0,Williams
SAR,56.0,99.626,SOFT,16.0,Williams
MAG,17.0,98.319,HARD,2.0,Haas F1 Team
MAG,18.0,98.274,HARD,3.0,Haas F1 Team
MAG,19.0,98.803,HARD,4.0,Haas F1 Team
MAG,20.0,99.083,HARD,5.0,Haas F1 Team
MAG,21.0,99.086,HARD,6.0,Haas F1 Team
MAG,22.0,98.913,HARD,7.0,Haas F1 Team
MAG,23.0,99.027,HARD,8.0,Haas F1 Team
MAG,24.0,98.947,HARD,9.0,Haas F1 Team
MAG,25.0,99.476,HARD,10.0,Haas F1 Team
MAG,26.0,99.601,HARD,11.0,Haas F1 Team
MAG,27.0,99.298,HARD,12.0,Haas F1 Team
MAG,28.0,99.316,HARD,13.0,Haas F1 Team
MAG,31.0,98.593,SOFT,2.0,Haas F1 Team
MAG,32.0,97.644,SOFT,3.0,Haas F1 Team
MAG,33.0,97.097,SOFT,4.0,Haas F1 Team
MAG,34.0,97.528,SOFT,5.0,Haas F1 Team
MAG,35.0,97.46,SOFT,6.0,Haas F1 Team
MAG,36.0,97.754,SOFT,7.0,Haas F1 Team
