Driver,LapNumber,LapTimeSeconds,TyreLife,Team,Compound_HARD,Compound_MEDIUM,Compound_SOFT
DEV,50.0,99.089,23.0,AlphaTauri,True,False,False
DEV,51.0,100.475,24.0,AlphaTauri,True,False,False
DEV,52.0,100.33,25.0,AlphaTauri,True,False,False
DEV,53.0,99.15,26.0,AlphaTauri,True,False,False
DEV,54.0,98.885,27.0,AlphaTauri,True,False,False
DEV,55.0,99.239,28.0,AlphaTauri,True,False,False
DEV,56.0,99.161,29.0,AlphaTauri,True,False,False
TSU,3.0,100.243,3.0,AlphaTauri,False,False,True
TSU,4.0,99.95,4.0,AlphaTauri,False,False,True
TSU,12.0,99.143,2.0,AlphaTauri,True,False,False
TSU,13.0,99.471,3.0,AlphaTauri,True,False,False
TSU,14.0,98.742,4.0,AlphaTauri,True,False,False
TSU,15.0,98.975,5.0,AlphaTauri,True,False,False
TSU,16.0,99.061,6.0,AlphaTauri,True,False,False
TSU,17.0,99.021,7.0,AlphaTauri,True,False,False
TSU,18.0,99.302,8.0,AlphaTauri,True,False,False
TSU,19.0,99.17,9.0,AlphaTauri,True,False,False
TSU,20.0,99.282,10.0,AlphaTauri,True,False,False
TSU,21.0,99.325,11.0,AlphaTauri,True,False,False
TSU,22.0,99.439,12.0,AlphaTauri,True,False,False
TSU,23.0,99.632,13.0,AlphaTauri,True,False,False
TSU,24.0,100.109,14.0,AlphaTauri,True,False,False
TSU,25.0,99.746,15.0,AlphaTauri,True,False,False
TSU,28.0,97.824,2.0,AlphaTauri,True,False,False
TSU,29.0,97.779,3.0,AlphaTauri,True,False,False
TSU,30.0,98.147,4.0,AlphaTauri,True,False,False
TSU,31.0,97.813,5.0,AlphaTauri,True,False,False
TSU,32.0,98.017,6.0,AlphaTauri,True,False,False
TSU,33.0,98.094,7.0,AlphaTauri,True,False,False
TSU,34.0,98.13,8.0,AlphaTauri,True,False,False
TSU,35.0,98.163,9.0,AlphaTauri,True,False,False
TSU,36.0,98.059,10.0,AlphaTauri,True,False,False
TSU,37.0,98.075,11.0,AlphaTauri,True,False,False
TSU,38.0,98.084,12.0,AlphaTauri,True,False,False
TSU,39.0,98.419,13.0,AlphaTauri,True,False,False
TSU,42.0,96.637,5.0,AlphaTauri,False,False,True
TSU,43.0,97.028,6.0,AlphaTauri,False,False,True
TSU,44.0,97.01,7.0,AlphaTauri,False,False,True
TSU,45.0,97.021,8.0,AlphaTauri,False,False,True
TSU,46.0,97.258,9.0,AlphaTauri,False,False,True
TSU,47.0,97.359,10.0,AlphaTauri,False,False,True
TSU,48.0,97.238,11.0,AlphaTauri,False,False,True
TSU,49.0,97.528,12.0,AlphaTauri,False,False,True
TSU,50.0,97.624,13.0,AlphaTauri,False,False,True
TSU,51.0,97.706,14.0,AlphaTauri,False,False,True
TSU,52.0,97.59,15.0,AlphaTauri,False,False,True
TSU,53.0,97.675,16.0,AlphaTauri,False,False,True
TSU,54.0,97.72,17.0,AlphaTauri,False,False,True
TSU,55.0,97.945,18.0,AlphaTauri,False,False,True
TSU,56.0,98.102,19.0,AlphaTauri,False,False,True
TSU,57.0,98.246,20.0,AlphaTauri,False,False,True
ALB,2.0,100.43,2.0,Williams,False,False,True
ALB,3.0,100.143,3.0,Williams,False,False,True
ALB,4.0,99.761,4.0,Williams,False,False,True
ALB,13.0,98.649,2.0,Williams,False,False,True
ALB,14.0,98.472,3.0,Williams,False,False,True
ALB,15.0,99.158,4.0,Williams,False,False,True
ALB,16.0,99.253,5.0,Williams,False,False,True
